id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5255,OPKC,medium_airport,"Jinnah International Airport",24.9065,67.160797,100,AS,PK,PK-SD,Karachi,1,OPKC,KHI,,,https://en.wikipedia.org/wiki/Jinnah_International_Airport,"OPQR, OPHQ, Drigh Road Airstrip, Quaid-E-Azam International Airport",1050,2016-05-15T18:05:15+00:00
5274,OPRN,medium_airport,"Benazir Bhutto International Airport",33.616699,73.099197,1668,AS,PK,PK-PB,Islamabad,0,OPRN,,,,https://en.wikipedia.org/wiki/Benazir_Bhutto_International_Airport,"ISB, Chaklala Air Base, Islamabad International Airport, Rawalpindi",1050,2018-09-12T00:35:19+00:00
5257,OPLA,medium_airport,"Alama Iqbal International Airport",31.5216007232666,74.40360260009766,712,AS,PK,PK-PB,Lahore,1,OPLA,LHE,,,https://en.wikipedia.org/wiki/Allama_Iqbal_International_Airport,OPLR,1050,2008-09-01T20:47:57+00:00
5270,OPPS,medium_airport,"Peshawar International Airport",33.993900299072266,71.51460266113281,1158,AS,PK,PK-NW,Peshawar,1,OPPS,PEW,,,https://en.wikipedia.org/wiki/Peshawar_International_Airport,,875,2008-09-01T20:48:22+00:00
5272,OPQT,medium_airport,"Quetta International Airport",30.251399993896484,66.93779754638672,5267,AS,PK,PK-BA,Quetta,1,OPQT,UET,,,https://en.wikipedia.org/wiki/Quetta_International_Airport,,800,2009-02-20T09:43:22+00:00
5279,OPSK,medium_airport,"Sukkur Airport",27.722000122070312,68.79170227050781,196,AS,PK,PK-SD,"Mirpur Khas",1,OPSK,SKZ,,,https://en.wikipedia.org/wiki/Sukkur_Airport,,875,2008-09-01T20:48:31+00:00
5264,OPMT,medium_airport,"Multan International Airport",30.20319938659668,71.41909790039062,403,AS,PK,PK-PB,Multan,1,OPMT,MUX,,,https://en.wikipedia.org/wiki/Multan_International_Airport,"Multan Air Base",800,2009-02-20T09:54:48+00:00
41624,OPST,large_airport,"Sialkot Airport",32.5355567932,74.3638916016,837,AS,PK,PK-PB,Sialkot,1,OPST,SKT,,,https://en.wikipedia.org/wiki/Sialkot_International_Airport,,50,2012-10-23T22:10:03+00:00
5251,OPFA,medium_airport,"Faisalabad International Airport",31.364999771118164,72.99479675292969,591,AS,PK,PK-PB,Faisalabad,1,OPFA,LYP,,,https://en.wikipedia.org/wiki/Faisalabad_International_Airport,OPLF,1025,2008-09-01T20:47:36+00:00
